Task,Feature family,Feature,Feature id,Sample,N pairs,N clusters,Estimate,95% CI low,95% CI high,Estimate display,95% CI,Clear difference,Direction,Panel association r,Panel association n,Panel preference (r),% utility high higher/better,% utility low higher/better,% equal/tie/NA,Scale,Definition,Source file
Essay writing,LLM rubric marker,Avoids plausibility overreach,plausibility_overreach,Random actor-balanced A/B-coded sample,120,7,0.0,-0.0252100840336134,0.0252100840336134,0.00,"[-0.03, 0.03]",False,No clear difference,0.14003945000174173,120,+0.14 (n=120),1.7%,1.7%,96.7%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored utility high output.","Which essay better avoids exaggerated, awkward, unsupported, or factually dubious claims?",outputs/analysis/task_rubric_feature_coding/utility__source-pair-deltas__n-per-task-120__seed-20260615__coder-google-gemini-2.5-flash/rubric_feature_analysis_by_task_dimension.csv
Grant abstract,Generic text feature,Words,words,Full paired dataset,2100,7,4.663809523809524,0.7076190476190476,9.446190476190475,4.7,"[0.7, 9.4]",True,Higher for utility high,0.3385202895185088,2100,"+0.34 (n=2,100)",51.2%,48.1%,0.6%,Raw feature units; positive means utility high output has more/higher feature value.,Word count.,outputs/analysis/utility_feature_deltas_by_task.csv
Grant abstract,Generic text feature,Quantitative detail,quantitative_detail,Full paired dataset,2100,7,0.0641905789923197,0.0229368100318031,0.1079031818643902,0.064,"[0.023, 0.108]",True,Higher for utility high,,0,,42.4%,37.3%,20.3%,Within-task z-score units; positive means utility high output has more quantitative detail.,Within-task z-score of numeric tokens plus percentage expressions. Computed separately for each output before paired differencing.,outputs/analysis/utility_feature_deltas_by_task.csv
Grant abstract,Generic text feature,Positive-word rate per 1k words,positive_words_per_1k,Full paired dataset,2100,7,-0.4924234366886314,-1.0470742720180537,0.1227341134779271,-0.49,"[-1.05, 0.12]",False,No clear difference,-0.20193546948480165,2100,"-0.20 (n=2,100)",48.4%,51.6%,0.0%,Raw feature units; positive means utility high output has more/higher feature value.,"VADER positive-lexicon tokens per 1,000 words.",outputs/analysis/utility_feature_deltas_by_task.csv
Grant abstract,Generic text feature,Negative-word rate per 1k words,negative_words_per_1k,Full paired dataset,2100,7,-0.0721427156814178,-0.4091195483079747,0.2479383712847032,-0.07,"[-0.41, 0.25]",False,No clear difference,0.02932070112480622,2100,"+0.03 (n=2,100)",47.7%,52.2%,0.1%,Raw feature units; positive means utility high output has more/higher feature value.,"VADER negative-lexicon tokens per 1,000 words.",outputs/analysis/utility_feature_deltas_by_task.csv
Grant abstract,Generic text feature,Flesch-Kincaid grade,textstat_flesch_kincaid_grade,Full paired dataset,2100,7,-0.0455078272659823,-0.0989349934458162,0.0035297096975707,-0.05,"[-0.10, 0.00]",False,No clear difference,0.12970206399857473,2100,"+0.13 (n=2,100)",48.7%,51.3%,0.0%,Raw feature units; positive means utility high output has more/higher feature value.,Flesch-Kincaid grade level.,outputs/analysis/utility_feature_deltas_by_task.csv
Grant abstract,Generic text feature,Paragraphs,paragraphs,Full paired dataset,2100,7,0.0166666666666666,-0.0728809523809523,0.1261904761904761,0.0,"[-0.1, 0.1]",False,No clear difference,0.09150833868279626,2100,"+0.09 (n=2,100)",27.8%,27.3%,44.9%,Raw feature units; positive means utility high output has more/higher feature value.,Paragraph count split on blank lines.,outputs/analysis/utility_feature_deltas_by_task.csv
Grant abstract,Generic text feature,Unique-word ratio,unique_word_ratio,Full paired dataset,2100,7,-0.0006375055638012,-0.0020880973804243,0.0006638838620468,-0.0006,"[-0.0021, 0.0007]",False,No clear difference,0.05450434968680528,2100,"+0.05 (n=2,100)",49.5%,50.5%,0.0%,Raw feature units; positive means utility high output has more/higher feature value.,Unique lowercased word tokens divided by total word tokens.,outputs/analysis/utility_feature_deltas_by_task.csv
Grant abstract,LLM rubric marker,Feasibility/readiness,feasibility_implementation_readiness,Random actor-balanced A/B-coded sample,120,7,0.0910364145658263,-0.0336134453781512,0.2240896358543417,0.09,"[-0.03, 0.22]",False,No clear difference,0.497191232465056,120,+0.50 (n=120),49.2%,40.0%,10.8%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored utility high output.","Which abstract gives more credible evidence that the project can actually be executed, including partners, team capacity, timeline, infrastructure, or prior pilots?",outputs/analysis/task_rubric_feature_coding/utility__source-pair-deltas__n-per-task-120__seed-20260615__coder-google-gemini-2.5-flash/rubric_feature_analysis_by_task_dimension.csv
Grant abstract,LLM rubric marker,Measurable impact,measurable_impact,Random actor-balanced A/B-coded sample,120,7,0.0494864612511671,-0.1428571428571428,0.2259570494864612,0.05,"[-0.14, 0.23]",False,No clear difference,0.47764337321215433,120,+0.48 (n=120),47.5%,42.5%,10.0%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored utility high output.","Which abstract gives more concrete and credible expected impacts, not just larger or more dramatic claims?",outputs/analysis/task_rubric_feature_coding/utility__source-pair-deltas__n-per-task-120__seed-20260615__coder-google-gemini-2.5-flash/rubric_feature_analysis_by_task_dimension.csv
