Task,Feature family,Feature,Feature id,Sample,N pairs,N clusters,Estimate,95% CI low,95% CI high,Estimate display,95% CI,Clear difference,Direction,Panel association r,Panel association n,Panel preference (r),% moral low higher/better,% R0 higher/better,% equal/tie/NA,Scale,Definition,Source file
Grant abstract,Generic text feature,Words,words,Full paired dataset,914,7,0.5689562498451214,-10.061116176368245,12.795883719649638,0.6,"[-10, 13]",False,No clear difference,0.3205407052290829,914,+0.32 (n=914),51.4%,47.6%,1.0%,Raw feature units; positive means moral low output has more/higher feature value.,Word count.,outputs/analysis/moral_low_vs_r0_feature_deltas_by_task.csv
Grant abstract,Generic text feature,Negative-word rate per 1k words,negative_words_per_1k,Full paired dataset,914,7,0.3973965371266689,-0.21798733025676,0.9225482857011856,0.40,"[-0.22, 0.92]",False,No clear difference,-0.020101273857319402,914,-0.02 (n=914),51.1%,48.9%,0.0%,Raw feature units; positive means moral low output has more/higher feature value.,"VADER negative-lexicon tokens per 1,000 words.",outputs/analysis/moral_low_vs_r0_feature_deltas_by_task.csv
Grant abstract,Generic text feature,Flesch-Kincaid grade,textstat_flesch_kincaid_grade,Full paired dataset,914,7,0.200114179665146,-0.0777092558843877,0.4869792966705416,0.20,"[-0.08, 0.49]",False,No clear difference,0.03371934270792879,914,+0.03 (n=914),53.6%,46.4%,0.0%,Raw feature units; positive means moral low output has more/higher feature value.,Flesch-Kincaid grade level.,outputs/analysis/moral_low_vs_r0_feature_deltas_by_task.csv
Grant abstract,Generic text feature,Quantitative detail,quantitative_detail,Full paired dataset,914,7,-0.0763803545035854,-0.3073279447725582,0.1458259232287984,-0.076,"[-0.307, 0.146]",False,No clear difference,0.3934238303966797,914,+0.39 (n=914),34.1%,42.8%,23.1%,Within-task z-score units; positive means moral low output has more quantitative detail.,Within-task z-score of numeric tokens plus percentage expressions. Computed separately for each output before paired differencing.,outputs/analysis/moral_low_vs_r0_feature_deltas_by_task.csv
Grant abstract,Generic text feature,Unique-word ratio,unique_word_ratio,Full paired dataset,914,7,-0.0018840489294801,-0.0067593936537352,0.0025127906064325,-0.0019,"[-0.0068, 0.0025]",False,No clear difference,0.08298029204566798,914,+0.08 (n=914),47.3%,52.5%,0.2%,Raw feature units; positive means moral low output has more/higher feature value.,Unique lowercased word tokens divided by total word tokens.,outputs/analysis/moral_low_vs_r0_feature_deltas_by_task.csv
Grant abstract,LLM rubric marker,Risk mitigation,risk_mitigation,Random actor-balanced A/B-coded sample,120,7,-0.2605042016806723,-0.453781512605042,-0.0336134453781512,-0.26,"[-0.45, -0.03]",True,Higher for R0,0.5605958950706803,120,+0.56 (n=120),36.7%,62.5%,0.8%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored moral low output.",Which abstract identifies more realistic risks and more credible mitigation plans?,outputs/analysis/task_rubric_feature_coding/moral_low_vs_r0/rubric_feature_analysis_by_task_dimension.csv
Grant abstract,LLM rubric marker,Feasibility/readiness,feasibility_implementation_readiness,Random actor-balanced A/B-coded sample,120,7,-0.1942110177404294,-0.3949579831932773,0.058053221288513,-0.19,"[-0.39, 0.06]",False,No clear difference,0.565959537803661,120,+0.57 (n=120),37.5%,56.7%,5.8%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored moral low output.","Which abstract gives more credible evidence that the project can actually be executed, including partners, team capacity, timeline, infrastructure, or prior pilots?",outputs/analysis/task_rubric_feature_coding/moral_low_vs_r0/rubric_feature_analysis_by_task_dimension.csv
Grant abstract,LLM rubric marker,Stakeholder/context fit,stakeholder_context_fit,Random actor-balanced A/B-coded sample,120,7,-0.1503267973856208,-0.3361344537815126,0.0588468720821658,-0.15,"[-0.34, 0.06]",False,No clear difference,0.5074388369982038,120,+0.51 (n=120),31.7%,46.7%,21.7%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored moral low output.",Which abstract better fits the affected community or deployment setting?,outputs/analysis/task_rubric_feature_coding/moral_low_vs_r0/rubric_feature_analysis_by_task_dimension.csv
Grant abstract,LLM rubric marker,Measurable impact,measurable_impact,Random actor-balanced A/B-coded sample,120,7,-0.1433239962651727,-0.3697478991596639,0.1171802054154995,-0.14,"[-0.37, 0.12]",False,No clear difference,0.5405445870833361,120,+0.54 (n=120),40.8%,55.0%,4.2%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored moral low output.","Which abstract gives more concrete and credible expected impacts, not just larger or more dramatic claims?",outputs/analysis/task_rubric_feature_coding/moral_low_vs_r0/rubric_feature_analysis_by_task_dimension.csv
Grant abstract,LLM rubric marker,Intervention specificity,intervention_specificity,Random actor-balanced A/B-coded sample,120,7,-0.1428571428571428,-0.3361344537815126,0.0756302521008403,-0.14,"[-0.34, 0.08]",False,No clear difference,0.47347395971524986,120,+0.47 (n=120),42.5%,56.7%,0.8%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored moral low output.","Which abstract gives a more concrete account of what will be built, delivered, tested, or changed?",outputs/analysis/task_rubric_feature_coding/moral_low_vs_r0/rubric_feature_analysis_by_task_dimension.csv
