task,task_label,family,feature_id,feature_label,n_gap,gap_effect,gap_ci_low,gap_ci_high,gap_p,gap_pair_delta_sd,gap_effect_sd,gap_ci_low_sd,gap_ci_high_sd,gap_ci_excludes_zero,n_panel,panel_coef_per_sd,panel_ci_low,panel_ci_high,panel_p,panel_ci_excludes_zero,signs_align,selected,controls_words_for_gap,controls_words_for_panel,definition
essay,Essay writing,Generic text feature,mattr_50,MATTR-50,2100,0.0009248472208918313,1.173348339262735e-05,0.0018379609583910354,0.04712378805489182,0.02204675137150948,0.04194936502468071,0.0005322091765315712,0.08336652087282986,True,2100,0.16537066837172082,0.13946195099131561,0.19127938575212602,6.55543388371221e-36,True,True,True,True,True,Moving-average type-token ratio computed in 50-word windows.
essay,Essay writing,Generic text feature,rare_word_rate_per_1k,Rare-word rate per 1k words,2100,0.4077884188641481,-0.414437797613741,1.2300146353420371,0.33101338858975865,19.26693002405441,0.021165199559817348,-0.021510318306877274,0.06384071742651197,False,2100,0.08680393855302328,0.06211172373215178,0.11149615337389478,5.56914676347155e-12,True,True,False,True,True,"Eligible alphabetic tokens with wordfreq English Zipf frequency below 3.5, per 1,000 eligible tokens."
essay,Essay writing,Generic text feature,words,Words,2100,0.34000000000000197,-1.0530512060807036,1.7330512060807077,0.632383768784335,32.50875383262729,0.010458721418560258,-0.03239285059963795,0.05331029343675848,False,2100,0.17899125137424762,0.15056101441419437,0.20742148833430088,5.530720028793503e-35,True,True,False,False,False,Word count.
essay,Essay writing,Generic text feature,negative_words_per_1k,Negative-word rate per 1k words,2100,0.22865858906641778,-0.2674631166969131,0.7247802948297486,0.3663409251830025,11.626011332369606,0.019667845018332075,-0.02300557852994961,0.062341268566613754,False,2100,0.06137649765739038,0.03526753791524129,0.08748545739953947,4.074714145890656e-06,True,True,False,True,True,"VADER negative-lexicon tokens per 1,000 words."
essay,Essay writing,Generic text feature,quantitative_detail_rate,Quantitative detail rate,2100,0.05575223829654283,-0.17127120381993724,0.2827756804130229,0.6302782422765614,5.310355825894142,0.010498776376657477,-0.03225230275244298,0.05324985550575794,False,2100,0.10282912668214124,0.07649818986852112,0.12916006349576134,1.943566431023037e-14,True,True,False,True,True,"Numeric tokens plus percentage expressions per 1,000 words."
essay,Essay writing,Generic text feature,textstat_flesch_kincaid_grade,Flesch-Kincaid grade,2100,0.011952500410344735,-0.03946974803459309,0.06337474885528256,0.6486926871408871,1.20150435838773,0.009947945945350967,-0.032850274540457435,0.05274616643115937,False,2100,0.07747699129463739,0.052727420300360435,0.10222656228891436,8.480743604654749e-10,True,True,False,True,True,Flesch-Kincaid grade level.
essay,Essay writing,Generic text feature,paragraphs,Paragraphs,2100,-0.013171031651783634,-0.05230741106796985,0.025965347764402583,0.5094963477694656,0.9538591717781606,-0.013808151183607663,-0.05483766641406789,0.02722136404685256,False,2100,0.0393568446547624,0.010207766562634151,0.06850592274689064,0.0081359370139213,True,False,False,True,True,Paragraph count split on blank lines.
essay,Essay writing,Generic text feature,positive_words_per_1k,Positive-word rate per 1k words,2100,-0.026583490940142007,-0.6668582955567296,0.6136913136764456,0.9351421404387612,14.958063917304399,-0.0017772013201112617,-0.044581858938660325,0.0410274562984378,False,2100,-0.06769780987262394,-0.09388073135522733,-0.04151488839002056,4.026096564587307e-07,True,True,False,True,True,"VADER positive-lexicon tokens per 1,000 words."
essay,Essay writing,LLM rubric marker,plausibility_overreach,Avoids plausibility overreach,120,-0.0016283579497104305,-0.03579864295715648,0.03254192705773561,0.9255840012651378,0.18333969940564226,-0.008881644046484774,-0.19525854505712567,0.1774952569641561,False,120,0.10583801818727952,0.04519737003829393,0.1664786663362651,0.0006242592517927182,True,False,False,True,True,"Which essay better avoids exaggerated, awkward, unsupported, or factually dubious claims?"
essay,Essay writing,LLM rubric marker,rhetorical_coherence_closure,Rhetorical coherence and closure,120,-0.029185213043993345,-0.1854794280058064,0.1271090019178197,0.7143682510025674,0.9181869237201962,-0.03178569884849188,-0.20200617457532918,0.1384347768783454,False,120,0.16172732305608212,0.03536086190615881,0.2880937842060054,0.01212577725606326,True,False,False,True,True,"Which essay has better paragraph flow, transitions, and final synthesis?"
