Task,Feature family,Feature,Feature id,Sample,N pairs,N clusters,Estimate,95% CI low,95% CI high,Estimate display,95% CI,Clear difference,Direction,Panel association r,Panel association n,Panel preference (r),% utility high higher/better,% R0 higher/better,% equal/tie/NA,Scale,Definition,Source file
Grant abstract,LLM rubric marker,Feasibility/readiness,feasibility_implementation_readiness,Random actor-balanced A/B-coded sample,112,7,0.0517156862745097,-0.2709339985994398,0.3761554621848724,0.05,"[-0.27, 0.38]",False,No clear difference,0.3294309914109131,112,+0.33 (n=112),49.1%,43.8%,7.1%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored utility high output.","Which abstract gives more credible evidence that the project can actually be executed, including partners, team capacity, timeline, infrastructure, or prior pilots?",outputs/analysis/task_rubric_feature_coding/utility_high_vs_r0/rubric_feature_analysis_by_task_dimension.csv
Grant abstract,LLM rubric marker,Stakeholder/context fit,stakeholder_context_fit,Random actor-balanced A/B-coded sample,112,7,0.0349789915966386,-0.2125420168067226,0.2807773109243697,0.03,"[-0.21, 0.28]",False,No clear difference,0.40716887296777005,112,+0.41 (n=112),40.2%,36.6%,23.2%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored utility high output.",Which abstract better fits the affected community or deployment setting?,outputs/analysis/task_rubric_feature_coding/utility_high_vs_r0/rubric_feature_analysis_by_task_dimension.csv
Incident postmortem,Generic text feature,Positive-word rate per 1k words,positive_words_per_1k,Full paired dataset,1050,7,-1.109239420841831,-2.3969716108733077,-0.0788889138395691,-1.11,"[-2.40, -0.08]",True,Higher for R0,-0.0766375904857596,1050,"-0.08 (n=1,050)",43.9%,56.1%,0.0%,Raw feature units; positive means utility high output has more/higher feature value.,"VADER positive-lexicon tokens per 1,000 words.",outputs/analysis/utility_high_vs_r0_feature_deltas_by_task.csv
Incident postmortem,Generic text feature,Words,words,Full paired dataset,1050,7,-20.387619047619047,-45.93390476190476,4.900428571428548,-20,"[-46, 5]",False,No clear difference,0.28401293497668584,1050,"+0.28 (n=1,050)",42.5%,57.2%,0.3%,Raw feature units; positive means utility high output has more/higher feature value.,Word count.,outputs/analysis/utility_high_vs_r0_feature_deltas_by_task.csv
Incident postmortem,Generic text feature,Negative-word rate per 1k words,negative_words_per_1k,Full paired dataset,1050,7,0.4710167993312844,-0.2370855239962428,1.1940680743923873,0.47,"[-0.24, 1.19]",False,No clear difference,-0.0048941544316783644,1050,"+0.00 (n=1,050)",52.1%,47.9%,0.0%,Raw feature units; positive means utility high output has more/higher feature value.,"VADER negative-lexicon tokens per 1,000 words.",outputs/analysis/utility_high_vs_r0_feature_deltas_by_task.csv
Incident postmortem,Generic text feature,Paragraphs,paragraphs,Full paired dataset,1050,7,-0.4514285714285715,-1.1838095238095236,0.2762619047619037,-0.5,"[-1.2, 0.3]",False,No clear difference,0.13370311841618326,1050,"+0.13 (n=1,050)",35.7%,47.2%,17.0%,Raw feature units; positive means utility high output has more/higher feature value.,Paragraph count split on blank lines.,outputs/analysis/utility_high_vs_r0_feature_deltas_by_task.csv
Incident postmortem,Generic text feature,Flesch-Kincaid grade,textstat_flesch_kincaid_grade,Full paired dataset,1050,7,0.4324667053619021,-0.1560707621778717,1.2154484251097275,0.43,"[-0.16, 1.22]",False,No clear difference,-0.0975499725834225,1050,"-0.10 (n=1,050)",52.5%,47.4%,0.1%,Raw feature units; positive means utility high output has more/higher feature value.,Flesch-Kincaid grade level.,outputs/analysis/utility_high_vs_r0_feature_deltas_by_task.csv
Incident postmortem,Generic text feature,Quantitative detail,quantitative_detail,Full paired dataset,1050,7,0.0833368318019516,-0.1230302129608002,0.342292789442269,0.083,"[-0.123, 0.342]",False,No clear difference,0.409745018011516,1050,"+0.41 (n=1,050)",56.3%,40.6%,3.1%,Within-task z-score units; positive means utility high output has more quantitative detail.,Within-task z-score of numeric tokens plus percentage expressions. Computed separately for each output before paired differencing.,outputs/analysis/utility_high_vs_r0_feature_deltas_by_task.csv
Incident postmortem,Generic text feature,Unique-word ratio,unique_word_ratio,Full paired dataset,1050,7,0.0043288182700902,-0.0035636620677051,0.0127140150211326,0.0043,"[-0.0036, 0.0127]",False,No clear difference,-0.04631280807337587,1050,"-0.05 (n=1,050)",55.3%,44.7%,0.0%,Raw feature units; positive means utility high output has more/higher feature value.,Unique lowercased word tokens divided by total word tokens.,outputs/analysis/utility_high_vs_r0_feature_deltas_by_task.csv
Incident postmortem,LLM rubric marker,Impact specificity,impact_specificity,Random actor-balanced A/B-coded sample,114,7,0.4249299719887954,0.0941176470588235,0.6849002100840332,0.42,"[0.09, 0.68]",True,Higher for utility high,0.44964713362295383,114,+0.45 (n=114),71.9%,28.1%,0.0%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored utility high output.","Which postmortem quantifies scope, duration, affected systems/users, severity, and business/customer impact better?",outputs/analysis/task_rubric_feature_coding/utility_high_vs_r0/rubric_feature_analysis_by_task_dimension.csv
