actor,actor_label,n_pairs,n_excluding_ties,mid_wins,neutral_wins,mid_ties,mid_win_rate_excluding_ties,mid_fwer95_ci_low,mid_fwer95_ci_high,mid_holm_positive,strong_minus_mid_pairs,strong_minus_mid_net,strong_minus_mid_ci_low,strong_minus_mid_ci_high,strong_minus_mid_positive_pairs,strong_minus_mid_negative_pairs,strong_minus_mid_equal_pairs
deepseek-v3.2-or,DeepSeek V3.2,150,74,38,36,76,0.5135135135135135,0.3541964689960555,0.6709052448417778,False,150,0.42,0.32,0.52,69,9,72
gpt-5.4-mini-or,GPT-5.4 mini,150,57,40,17,93,0.7017543859649122,0.5172192251040866,0.8489283513675203,True,150,0.2866666666666667,0.18666666666666668,0.3933333333333333,47,10,93
glm-5.1-or,GLM-5.1,150,48,31,17,102,0.6458333333333334,0.4421694172644717,0.8176047428717381,False,150,0.2866666666666667,0.18666666666666668,0.38,56,13,81
kimi-k2.5-or,Kimi K2.5,150,63,45,18,87,0.7142857142857143,0.5402067157674195,0.8523902540972933,True,150,0.36666666666666664,0.24666666666666667,0.48,66,17,67
mimo-v25-pro-or,MiMo V2.5 Pro,150,83,38,45,67,0.4578313253012048,0.3113017940530992,0.6097226794812695,False,150,0.20666666666666667,0.09316666666666683,0.32,48,21,81
qwen3.5-9b-or,Qwen3.5 9B,150,52,25,27,98,0.4807692307692308,0.2947543176356492,0.670664166287538,False,150,0.14,0.03333333333333333,0.25333333333333335,45,26,79
qwen3.6-plus-or,Qwen3.6 Plus,150,37,19,18,113,0.5135135135135135,0.2905650449660349,0.7326657215243622,False,150,0.16,0.07333333333333333,0.25333333333333335,32,10,108
