scope,task,task_label,moral_low_wins,framed_empty_wins,ties,unresolved,n_excluding_ties,pooled_win_rate,pooled_wilson_ci_lo,pooled_wilson_ci_hi,equal_cell_mean_win_rate,equal_cell_bootstrap_ci_lo,equal_cell_bootstrap_ci_hi,ci_method
overall,all,All tasks,2856,4292,541,0,7148,0.39955232232792387,0.38825437788306916,0.4109581734202157,0.40509872575502354,0.30733379730648264,0.48920128232891796,equal actor-task-cell mean; crossed bootstrap over actors and tasks; raw non-tied trials resampled within cells; B=5000
task,essay,Essay writing,671,1026,282,0,1697,0.3954036535061874,0.37240226724911124,0.4188775147911589,0.408391591319346,0.2849881397666024,0.511996855743045,equal actor-cell mean within fixed task; bootstrap over actors; raw non-tied trials resampled within actor-task cells; B=5000
task,grant_proposal_abstract,Grant abstract,522,1308,1,0,1830,0.28524590163934427,0.265024921161552,0.3063665989617523,0.29892054366805815,0.2330246809554558,0.38064560462861324,equal actor-cell mean within fixed task; bootstrap over actors; raw non-tied trials resampled within actor-task cells; B=5000
task,incident_postmortem,Incident postmortem,915,1025,6,0,1940,0.47164948453608246,0.4495138506484824,0.49389717214823486,0.46890764509033733,0.39671653590394224,0.5465664871613871,equal actor-cell mean within fixed task; bootstrap over actors; raw non-tied trials resampled within actor-task cells; B=5000
task,translation,Translation,748,933,252,0,1681,0.4449732302201071,0.4213686476698734,0.46882873616617543,0.4441751229423526,0.41064199083813385,0.47690980131992833,equal actor-cell mean within fixed task; bootstrap over actors; raw non-tied trials resampled within actor-task cells; B=5000
